COUNTRY,PROJECT,YEAR,AMOUNT,LENDER,BORROWER,SECTOR,SENSITIVE TERRITORY OVERLAP
Democratic Republic of Congo,N'Djili Airport Runway Refurbishment,2012,$60M,ExImBank,Government,Transport,None Known
Democratic Republic of Congo,RN2 Construction (crossing to Butembo),2015,$33M,ExImBank,Government,Transport,Within Critical Habitats
Democratic Republic of Congo,RN5 National Road Asphalting (Phase I),2008,$88M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Democratic Republic of Congo,RN5 National Road Grading (Phase I),2008,$51M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Democratic Republic of Congo,Sicomine Copper Mining Project,2008,$429M,ExImBank,Sicomine,"Extraction, pipelines",None Known
Democratic Republic of Congo,Upgrade of RN5,2015,$80M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Democratic Republic of Congo,Zongo II Hydropower Station,2011,$367M,ExImBank,Government,Power,None Known
"Congo, Republic of the",Brazzaville Mall Construction,2014,$502M,ExImBank,Government,Other construction,None Known
"Congo, Republic of the",Construction of 200 Housing Units in Mpila district,2012,$48M,ExImBank,Government,Government,None Known
"Congo, Republic of the",Digital Television Migration Project,2017,$162M,ExImBank,Government,Telecom,None Known
"Congo, Republic of the",Drinking Water Supply Project (Djiri),2009,$213M,ExImBank,Government,Government,None Known
"Congo, Republic of the",Gabon Border Road; Obouya-Boundji-Okoyo-Gabon Border / OBO Road Construction (Phase I),2008,$106M,ExImBank,Government,Transport,Within Critical Habitats
"Congo, Republic of the",Gabon Border Road; Okoyo-Lékéty-Frontier Road (Phase II),2012,$74M,ExImBank,Government,Transport,Within Critical Habitats
"Congo, Republic of the",Liouesso Hydropower Project,2012,$105M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
"Congo, Republic of the",Liouesso Hydropower Project Transmission Line to Ouesso,2012,$37M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
"Congo, Republic of the",Maya-Maya Airport Construction (Brazzaville),2008,$136M,ExImBank,Government,Transport,None Known
"Congo, Republic of the",Mpila Business District Development,2014,$62M,ExImBank,Government,Other construction,None Known
"Congo, Republic of the",Mpila High School Construction,2013,$66M,ExImBank,Government,Government,None Known
"Congo, Republic of the",Mpila Twin Tower Business Center Construction,2014,$328M,ExImBank,Government,Other construction,None Known
"Congo, Republic of the",National Route 1 Rehabilitation (Phase II),2012,$1.2B,ExImBank,Government,Transport,None Known
"Congo, Republic of the",National Route 2 Rehabilitation (Phase II),2012,$234M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
"Congo, Republic of the",National Route 2; Owando-Makoua-Ouesso Road; Owando-Makoua-Mambili Construction (Phase 1),2009,$303M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
"Congo, Republic of the",National Telecom Project (Phase III),2017,$161M,ExImBank,Government,Telecom,None Known
"Congo, Republic of the",Oyo Harbour Construction,2013,$55M,ExImBank,Government,Transport,Within Critical Habitats
"Congo, Republic of the",Transmission Lines from Imboulou Hydropower: 220kV; 110kV; 30kV; 20kV,2009,$264M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Costa Rica,San José - Limón highway,2015,$395M,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Cote d'Ivoire,Abidjan Bonoua Water Supply (Phase I),2012,$97M,ExImBank,Government,Government,"Within Critical Habitats
 Within National Protected Areas"
Cote d'Ivoire,Abidjan Bonoua Water Supply (Phase II),2014,$89M,ExImBank,Government,Government,"Within Critical Habitats
 Within National Protected Areas"
Cote d'Ivoire,Abidjan Port Expansion,2014,$793M,ExImBank,Government,Transport,None Known
Cote d'Ivoire,Abidjan Video Surveillance Platform Project,2016,$52M,ExImBank,Government,Government,None Known
Cote d'Ivoire,Abidjan-Grand Bassam Highway Construction,2012,$115M,ExImBank,Government,Transport,None Known
Cote d'Ivoire,Agboville-Rubino-Ceshi Road Asphalting,2017,$66M,ExImBank,Government,Transport,None Known
Cote d'Ivoire,Asphalting Odienné-Gbéléban Road,2017,$70M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Cote d'Ivoire,Concord Residences Construction (Phase II),2010,$61M,ExImBank,Government,Government,None Known
Cote d'Ivoire,National Power Grid Upgrade (Tranche A),2015,$776M,ExImBank,Government,Power,None Known
Cote d'Ivoire,Soubre Hydropower Project (275MW),2013,$500M,ExImBank,Government,Power,None Known
Cote d'Ivoire,Tiébissou-Bouaké Highway Construction,2018,$69M,ExImBank,Government,Transport,Within Critical Habitats
Cuba,Jesus Rabi Biomass Power Plant 20 MW,2015,$60M,ExImBank,Azcuba,Power,None Known
Cuba,Santiago de Cuba port,2015,$120M,ExImBank,Government,Transport,None Known
Djibouti,Addis-Djibouti Railway Construction (Ali Sabieh to Nagad),2013,$492M,ExImBank,Government,Transport,Within Critical Habitats
Djibouti,Djibouti-Ethiopia Water Pipeline,2013,$322M,ExImBank,Government,Government,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Djibouti,Doraleh Multipurpose Port and Damerjob Livestock Port Project,2016,$344M,ExImBank,Government,Transport,Within Critical Habitats
Djibouti,Goubet Salt Port Project,2012,$64M,ExImBank,Government,Transport,None Known
Dominican Republic,Electrical distribution system upgrade,2018,$600M,ExImBank,Government,Power,None Known
Ecuador,Annual investment plan,2015,$1.5B,CDB,Government,Mulit-sector/discretionary,None Known
Ecuador,Coca Codo Sinclair Hydroelelectric Facility,2014,$509M,ExImBank,Government,Power,Within Critical Habitats
Ecuador,Coca-Codo-Sinclair HPP,2010,$1.7B,ExImBank,Government,Power,Within Critical Habitats
Ecuador,"Delsitanisagua, Minas-San Francisco, Mazar-Dudas dams (loan info and coordinates for Delsitanisagua)",2011,$680M,CDB,Petroecuador,Power,Within Critical Habitats
Ecuador,Development Assistance,2018,$900M,CDB,Go,Government,None Known
Ecuador,Discretionary,2010,$800M,CDB,Petroecuador,Power,None Known
Ecuador,Discretionary,2011,$633M,CDB,Petroecuador,Power,None Known
Ecuador,Discretionary,2016,$1.5B,CDB,Government,Mulit-sector/discretionary,None Known
Ecuador,Energy Saving Programs,2015,$250M,ExImBank,Government,Government,None Known
Ecuador,Esmeraldas thermoelectric plant,2011,$50M,CDB,Petroecuador,Power,None Known
Ecuador,Finance government defecit,2012,$2.0B,CDB,Government,Government,None Known
Ecuador,"Healthcare, education, and transportation projects",2015,$5.3B,ExImBank,Government,Mulit-sector/discretionary,None Known
Ecuador,Infrastructure projects,2016,$500M,CDB,Government,Other construction,None Known
Ecuador,Minas-San Francisco Hydroelectric Dam (in Addition to the 2011 CDB loan),2013,$312M,ExImBank,Government,Power,None Known
Ecuador,Oil - related,2010,$200M,CDB,Petroecuador,Power,None Known
Ecuador,OIl - related,2011,$600M,CDB,Petroecuador,Power,None Known
Ecuador,Post-earthquake reconstruction,2018,$69M,ExImBank,Government,Other construction,None Known
Ecuador,Simón Bolívar highway,2013,$80M,ExImBank,Government,Transport,Within Critical Habitats
Ecuador,Sopladora Hydroelectric Dam,2010,$571M,ExImBank,Government,Power,None Known
Ecuador,Villonaco Wind Farm,2011,$38M,CDB,Petroecuador,Power,None Known
Ecuador,Yachay Knowledge City,2016,$198M,ExImBank,Government,Mulit-sector/discretionary,None Known
Egypt,Bolster foreign exchange reserves,2016,$1000M,CDB,Central Bank of Egypt,Government,None Known
Egypt,"Egyptian Unified Power Grid (Transmission Stations, Cable, Transmitter, 500kV Electricity Line)",2017,$690M,"BOC, CDB, ExImBank",Egyptian Electricity Transmission Company,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Egypt,Infrastructure Projects,2016,$700M,CDB,National Bank of Egypt,Other construction,None Known
Egypt,Interbank financing,2017,$500M,CDB,Banque Misr,Government,None Known
Egypt,Interbank loan,2018,$600M,CDB,National Bank of Egypt,Government,None Known
Egypt,SMEs Loan,2015,$100M,CDB,National Bank of Egypt,Government,None Known
Egypt,SMEs Loan,2016,$100M,CDB,Banque Misr,Government,None Known
Egypt,"SMEs Loan (Agriculture, Environment and Communications)",2012,$200M,CDB,National Bank of Egypt,Government,None Known
Equatorial Guinea,Malabo Power Grid (Phase II),2008,$221M,ExImBank,Government,Power,Within Critical Habitats
Equatorial Guinea,Micomeseng-Bonkoro Highway Construction,2015,$261M,ExImBank,Government,Transport,None Known
Equatorial Guinea,Oyala (Djibloho) New Capital and Social Housing Construction: 10 Administrative Buildings; Social Housing-500 Units ; 1200 Units of Presidential Palace Administrative Districts,2017,$510M,ExImBank,Government,Other construction,None Known
Eritrea,Agro-Processing Projects,2012,$101M,ExImBank,Government,"Agriculture, food",None Known
Eritrea,Hirgigo Thermal Power Plant Upgrade,2014,$100M,ExImBank,Government,Power,Within Critical Habitats
Eritrea,Long Asphalt Road Construction (Adi-Guadad to Habela),2018,$87M,ExImBank,Government,Transport,None Known
Eritrea,Various Machinery Supply (Phase I),2011,$100M,ExImBank,Government,Mulit-sector/discretionary,None Known
Eritrea,Various Machinery Supply (Phase II),2012,$62M,ExImBank,Government,Mulit-sector/discretionary,None Known
Eritrea,Various Machinery Supply (Phase III),2015,$96M,ExImBank,Government,Mulit-sector/discretionary,None Known
Ethiopia,Adama Wind Farm I (51MW),2010,$99M,ExImBank,Government,Power,Within Indigenous Peoples' Lands
Ethiopia,Adama Wind Farm II (153 MW),2013,$293M,ExImBank,Government,Power,Within Indigenous Peoples' Lands
Ethiopia,Addis Ababa Deep Well Water Supply Project III,2011,$96M,ExImBank,Government,Government,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Addis Ababa Power Network Rehabilitation and Upgrading,2016,$165M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Addis Ababa Transmission Lines,2017,$83M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Addis-Ababa Light Rail Project,2011,$475M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Ethiopia,Addis-Adama Expressway Construction (Phase 2),2016,$190M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Addis-Adama Expressway Construction (Phase I),2009,$349M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Addis-Adama Expressway- Toll Montovay Construction (Phase 2),2013,$143M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Addis-Djibouti Railway (Tranche A),2013,$220M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Ethiopia,Addis-Djibouti Railway (Tranche B),2013,$981M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Ethiopia,Addis-Djibouti Railway (Tranche C),2013,$1.3B,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Ethiopia,Aysha Wind Farm II Construction,2017,$219M,ExImBank,Government,Power,Within Indigenous Peoples' Lands
Ethiopia,Bole Airport Expansion,2013,$239M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Ethiopia,Bole Airport Passenger Terminal Expansion,2016,$117M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Ethiopia,Customs Equipment and Scanners Purchase,2010,$26M,ExImBank,Government,Government,None Known
Ethiopia,Dire Dawa-Dewalle Road Construction,2014,$187M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Ethiopia,Ethio-Hunan Equipment Production Cooperation Industrial Park Construction,2017,$262M,ExImBank,Government,Other construction,Within Indigenous Peoples' Lands
Ethiopia,Ethiopia-Djibouti Railway Transmission Line Power Supply,2015,$63M,ExImBank,Ethiopian Electric Power Corporation,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats
 Within National Protected Areas"
Ethiopia,Genale Dawa III-Yirgalem II-Wolayita Sodo II-Hawassa II Transmission Project,2016,$249M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Genale-Dawa III Hydroelectric Power Project,2009,$270M,ExImBank,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Gibe III Hydropower Project (Addis Ababa Transmission Lines and Substations),2011,$188M,ExImBank,Government,Power,None Known
Ethiopia,Gibe III Hydropower Project (Part C),2011,$89M,ExImBank,Ethiopian Electric Power Corporation,Power,None Known
Ethiopia,Kality Ring Road Interchange-Tulu Dimtu Roundabout Project,2016,$103M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Ethiopia,Kessem Sugar Factory Construction,2012,$123M,ExImBank,Ethiopia Sugar Corporation,"Agriculture, food",Within Indigenous Peoples' Lands
Ethiopia,Mekelle Water Supply Project (PEBC portion),2018,$156M,ExImBank,Government,Government,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Meskere Sq-Bole Road Construction,2011,$70M,ExImBank,Government,Transport,Within Indigenous Peoples' Lands
Ethiopia,Modjo-Hawassa Expressway Construction (Arsi Negele-Hawassa Section),2017,$171M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Ethiopia,Omo-Quraz Sugar Factory 2 Construction,2013,$290M,CDB,Ethiopia Sugar Corporation,"Agriculture, food","Within Indigenous Peoples' Lands
 Within National Protected Areas"
Ethiopia,Omo-Quraz Sugar Factory 3 Construction,2013,$290M,CDB,Ethiopia Sugar Corporation,"Agriculture, food","Within Indigenous Peoples' Lands
 Within National Protected Areas"
Ethiopia,Ships Purchase,2011,$235M,ExImBank,Ethiopian Shipping Lines,Transport,None Known
Ethiopia,SMEs Development Loan,2013,$25M,CDB,Development Bank of Ethiopia,Government,None Known
Ethiopia,SMEs Loan,2012,$25M,CDB,Ethiopia Development Bank,Government,None Known
Ethiopia,Welkait Sugar Mill Construction,2014,$500M,ExImBank,Commercial Bank of Ethiopia,"Agriculture, food",Within Critical Habitats
Fiji,Buca Bay and Moto Road improvement,2013,$366M,ExImBank,Government,Transport,Within Critical Habitats
Fiji,Fiji Public Rental Housing Project,2010,$36M,ExImBank,Government,Government,Within Critical Habitats
Fiji,Fiji rural roads,2008,$50M,ExImBank,Government,Transport,Within Critical Habitats
Fiji,Low Cost Housing Project,2011,$139M,ExImBank,Government,Government,Within Critical Habitats
Fiji,Nadarivatu Dam,2009,$74M,CDB,Government,Power,Within Critical Habitats
Fiji,Road Upgrading Project Nabouwalu Dreketi,2012,$840M,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Fiji,Roads Improvement Sigatoka-Serea,2014,$328M,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Gabon,Construction and Equipment for Three Development Centers,2015,$101M,ExImBank,Government,Government,None Known
Gabon,Grand Poubara Dam Project,2008,$318M,ExImBank,Government,Power,Within Indigenous Peoples' Lands
Gabon,Libreville Perimeter Highway Project,2016,$154M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Gabon,Libreville Power Grid Upgrade,2011,$135M,ExImBank,Government,Power,Within Indigenous Peoples' Lands
Gabon,Libreville-Port Gentil Road Project (Phase I),2013,$134M,ExImBank,Government,Transport,Within Critical Habitats
Gabon,Road Construction (Farasol Mbega to Port-Gentil),2016,$103M,ExImBank,Government,Transport,Within Critical Habitats
Gambia,Gambia National Broadband Network Project,2018,$25M,ExImBank,Government,Telecom,None Known
Ghana,Bui Hydropower Project 400MW Additional Finance Loan 1(Total= $749.6mn),2012,$75M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Ghana,Bui Hydropower Project 400MW Additional Finance Loan 2 (Total= $749.6mn),2012,$76M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Ghana,Cape Coast Kotokuraba Market Project,2012,$32M,ExImBank,Government,Other construction,None Known
Ghana,E-government Project (Phase I),2009,$30M,ExImBank,Government,Telecom,None Known
Ghana,E-government Project (Phase II) - WiMax Network Upgrade (CL portion),2011,$30M,ExImBank,Government,Telecom,None Known
Ghana,E-government Project (Phase II) - WiMax Network Upgrade (CommL portion),2011,$120M,ExImBank,Government,Telecom,None Known
Ghana,ICT Surveillance Platform for an Oil Field,2013,$150M,CDB,Government,Government,None Known
Ghana,Kpong Water Supply Project,2011,$260M,ExImBank,Government,Government,None Known
Ghana,National security project GoTa (Phase II),2013,$123M,ExImBank,Government,Government,None Known
Ghana,Polytechnics Upgrade; Technical and Vocational Training Centers,2018,$119M,ExImBank,Government,Government,None Known
Ghana,Takoradi Port Expansion (Phase I) - Access Road,2011,$150M,CDB,Government,Transport,Within Critical Habitats
Ghana,University of Ghana Legon ICT-Enabled Distance Learning System project (Phase II),2012,$32M,ExImBank,Government,Government,None Known
Ghana,Western Corridor Gas Infrastructure Project (Jubilee Oil Field),2013,$850M,CDB,Government,"Extraction, pipelines",None Known
Grenada,Maurice Bishop International Airport Upgrade,2017,$66M,ExImBank,Government,Transport,Within Critical Habitats
Guinea,"Kansonyah 20,000 Social Housing Units Construction",2018,$255M,ExImBank,Government,Government,Within Critical Habitats
Guinea,National Backbone Fiber Optics Project,2014,$214M,ExImBank,Government,Telecom,None Known
Guinea,SOTELGUI National Telecom Project,2014,$50M,ExImBank,Government,Telecom,None Known
Guinea,Souapiti Hydropower Project (450MW),2018,$599M,ExImBank,Souapiti Hydropower SPV,Power,None Known
Guyana,Cheddi Jagan Airport expansion,2012,$130M,ExImBank,Government,Transport,None Known
Guyana,East Coast Demerara highway,2017,$45M,ExImBank,Goverment,Transport,Within Critical Habitats
Guyana,Guyana Power and Light (GPL) Transmission and Distribution Infrastructure Development Project,2011,$39M,ExImBank,Government,Power,Within Critical Habitats
Hungary,Belgrade-Budapest rail link,2014,$1.9B,ExImBank,Goverment,Transport,"Within Critical Habitats
 Within National Protected Areas"
Indonesia,Adipala Power Station,2009,$277M,CDB,Government,Power,Within Critical Habitats
Indonesia,Balikpapan – Samarinda Road Development,2010,$65M,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Indonesia,"Bangko Tengah (SS-8) Power Station, aka South Sumatra 8 or Sumsel-8",2015,$1.2B,"CDB, ExImBank",PT Huadian Bukit Asam Power,Power,Within Indigenous Peoples' Lands
Indonesia,Bengkulu Power Station,2016,$270M,"CDB, ExImBank",PT Intraco Penta and PowerChina,Power,Within Critical Habitats
Indonesia,Celukan Bawang,2012,$880M,CDB,Government,Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Indonesia,Cilacap Power Plant Extension Project,2013,$700M,CDB,Sumber Segara Primadaya,Power,None Known
Indonesia,Cilacap Sumber Power Station with BOC and Bank Rakyat Indonesia,2013,$700M,CDB,Government,Power,None Known
Indonesia,Cileunyi Tollroad,2014,$235M,ExImBank,Government,Transport,Within Critical Habitats
Indonesia,East Nusa Dam,2013,$100M,ExImBank,Government,Government,None Known
Indonesia,Indramayu Sumuradem Power Station,2008,$562M,CDB,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,"Jakarta-Bandung Railway, KCIC",2017,$4.5B,CDB,Government,Transport,Within Critical Habitats
Indonesia,Java-7 Coal-Fired Power Plant (2000MW),2016,$128M,CDB,PT Shenhua Guohua Java Bali Generation,Power,Within Critical Habitats
Indonesia,Manado-Bitung Toll Road,2017,$503M,ExImBank,Government,Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Indonesia,"Nagan Raya Thermal Power Plant (Meulaboh Power Station), Special Region of Aceh",2009,$124M,ExImBank,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,Pacitan Coal Power Plant,2009,$293M,ExImBank,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,Paiton Power Plant Unit 9,2008,$330M,ExImBank,Perusahaan Listrik Negara (PLN),Power,Within Indigenous Peoples' Lands
Indonesia,Pangkalan Susu Power Plant Phase I Unit II,2014,$373M,ExImBank,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,Pangkalan Susu Power Plant Phase II Unit I,2014,$373M,ExImBank,Perusahaan Listrik Negara (PLN),Power,Within Critical Habitats
Indonesia,Pangkalan Susu Power Plant Phase II Unit II,2014,$373M,ExImBank,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,Pangkalan Susu Unit 3 & 4 Coal Fired Power Plant,2013,$317M,ExImBank,Indonesian State Electricity Company,Power,Within Critical Habitats
Indonesia,Parit Baru Power Station,2011,$133M,ExImBank,Government,Power,None Known
Indonesia,Pelabuhan Ratu Power Station,2009,$481M,ExImBank,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,PLTU Nangroe Aceh Darussalam Thermal Power Plant,2009,$124M,ExImBank,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,Rembang Power Station,2008,$131M,CDB,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,Solo-Kertosono Toll Road Project,2014,$200M,ExImBank,Government,Transport,None Known
Indonesia,Sumsel (SS-5) Power Station,2013,$318M,CDB,Government,Power,None Known
Indonesia,Suralaya Unit 8 Power Plant,2009,$280M,ExImBank,Perusahaan Listrik Negara (PLN),Power,None Known
Indonesia,Takalar Steam Coal-Fired Power Plant (200MW),2014,$241M,ExImBank,Indonesian State Electricity Company,Power,None Known
Indonesia,Tanjung Kasam Power Station with Sinosure,2014,$150M,ExImBank,Government,Power,Within Critical Habitats
Indonesia,Teluk Sirih Coal-Fired Power Plant (224MW),2013,$138M,CDB,Perusahaan Listrik Negara (PLN),Power,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Iran,Credit Line for Infrastructure Projects,2016,$15.0B,CDB,Government,Other construction,None Known
Iran,"Railroad Electrification (between Tehran, Qom and Isfahan)",2017,$1.5B,ExImBank,Islamic Republic of Iran Railways (IRIR),Transport,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Jamaica,Framework Cooperation Agreement on establishing an US$100 million line of credit,2009,$100M,ExImBank,Government,Mulit-sector/discretionary,None Known
Jamaica,Jamaica Development Infrastructure Programme (JDIP),2010,$340M,ExImBank,Government,Transport,None Known
Jamaica,"Jamaica Economic Housing Project: St. Ann, St. Elizabeth",2011,$71M,ExImBank,Government,Government,None Known
Jamaica,North/South toll highway construction,2013,$457M,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Jamaica,Palisadoes Peninsula repair,2010,$58M,ExImBank,Government,Government,"Within Critical Habitats
 Within National Protected Areas"
Jamaica,Road and bridge rehabilitation projects,2013,$300M,ExImBank,Government,Transport,None Known
Jamaica,Road network,2016,$327M,ExImBank,Government,Transport,None Known
Jordan,Attarat Power Plant,2017,$2.1B,ExImBank,Attarat Power Company (APCO),Power,Within Indigenous Peoples' Lands
Kazakhstan,Astana Light Rail Construction,2015,$1.8B,CDB,Government,Transport,None Known
Kazakhstan,Atyrau Petrochemical Complex,2008,$1.3B,ExImBank,Government,Manufacturing,None Known
Kazakhstan,Beineu-Bozoi-Shymkent Gas Pipeline (Construction),2011,$1.8B,CDB,KazMunayGas,"Extraction, pipelines",None Known
Kazakhstan,ENRC chrome project,2011,$400M,CDB,Government,Manufacturing,None Known
Kazakhstan,ENRC iron ore project,2011,$1.6B,CDB,Government,Manufacturing,None Known
Kazakhstan,Polypropylene plant in Atyrau,2011,$1.1B,ExImBank,Government,Manufacturing,None Known
Kazakhstan,Third Unit of Ekibastuz GRES-2 Power Plant with Russia,2013,$400M,CDB,Government,Power,None Known
Kenya,151 Multisector infrastructure projects,2016,$600M,CDB,Central Bank of Kenya,Mulit-sector/discretionary,None Known
Kenya,20 Magnetic Resonance Imaging Equipment Purchase,2015,$27M,CDB,Government,Government,None Known
Kenya,Enterprise Messaging and Collaboration System Project,2011,$49M,ExImBank,Government,Telecom,None Known
Kenya,Equipment to Kenya's National Youth Service,2010,$56M,ExImBank,Government,Government,None Known
Kenya,Garissa Solar Power Project,2016,$138M,ExImBank,Government,Power,Within Indigenous Peoples' Lands
Kenya,Karimenu Dam Water Supply Project,2017,$229M,ExImBank,Government,Government,None Known
Kenya,Kenya Nationwide Airborne Geophysical Survey,2017,$68M,ExImBank,Government,Government,None Known
Kenya,Kenyan Urban Power Grid Kamburu-Meru (Phase II); Transmission Line with Two Substations (220kV); Transmission Line with One Substation (132kV),2009,$93M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Kenya,Kenyatta University Teaching and Referral Hospital Construction,2011,$123M,ExImBank,Government,Government,None Known
Kenya,Kibwezi-Mutomo-Kitui Road Construction (Phase I),2016,$225M,ExImBank,Government,Transport,Within Critical Habitats
Kenya,Nairobi 132KV and 66KV Network Upgrade and Reinforcement,2014,$130M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Kenya,Nairobi Power Transmission Projects: Embakasi-Nairobi Railways Compound Cable (220 kV); Underground Cables (66kV) ; Substation in Likoni (66/11 kV); Modernize Cathedral Substation,2016,$132M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Kenya,Nairobi Ring Road Construction,2009,$108M,ExImBank,Government,Transport,None Known
Kenya,Nairobi Southern Bypass Construction,2012,$156M,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Kenya,Nairobi-Thika Highway Construction,2009,$156M,ExImBank,Government,Transport,Within National Protected Areas
Kenya,National Optic Fibre Backbone Infrastructure (Phase II); E-government,2012,$73M,ExImBank,Government,Telecom,"Within Indigenous Peoples' Lands
 Within Critical Habitats"
Kenya,Olkaria IV Drilling Geothermal Stream,2012,$383M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Kenya,Olkaria IV geothermal- 26 wells (140MW),2010,$102M,ExImBank,Government,Power,"Within Critical Habitats
 Within National Protected Areas"
Kenya,Olkaria V Geothermal Drilling,2012,$484M,ExImBank,Kenya Electricity Generating Company (KenGen),Power,"Within Critical Habitats
 Within National Protected Areas"
Kenya,Procurement of Power Lines Material (Loan 2),2008,$57M,ExImBank,Government,Power,None Known
Kenya,Rabai-Malindi-Garsen-Lamu Transmission Line,2010,$93M,ExImBank,Government,Power,None Known
Kenya,Rehabilitation And Upgrading Of Equipment In The Universities And Technical Training Institutes Project,2011,$31M,ExImBank,Government,Government,None Known
Kenya,SGR (Phase II: Nairobi to Malaba) - Sub-phase 1; Nairobi to Naivasha Section,2015,$1.5B,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Kenya,SGR Phase I - Mombasa to Nairobi (CL portion; Total= $3.6bn),2014,$1.6B,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Kenya,SGR Phase I - Mombasa to Nairobi (Commercial Loan portion; Total= $3.6bn),2014,$2.0B,ExImBank,Government,Transport,"Within Critical Habitats
 Within National Protected Areas"
Kenya,SME Loans,2015,$143M,CDB,Central Bank of Kenya,Government,None Known
Kyrgyz Republic,Alternative North-South Highway Kyzyl-Jyldyz - Aral and Karzarm - Jalal-Abad (Rehabilitation),2013,$400M,ExImBank,Government,Transport,None Known
Kyrgyz Republic,Alternative North-South Road,2015,$298M,ExImBank,Government,Transport,Within National Protected Areas
Kyrgyz Republic,Bishkek Power Station Units 12 and 13,2013,$386M,ExImBank,Government,Power,None Known
Kyrgyz Republic,Bishkek-Balykchy Road (Rehabilitation),2012,$38M,ExImBank,Government,Transport,Within Critical Habitats
